Symbol,Previous,Estimate,Reported,Next,Guidance,06-11,06-10,06-09,06-06,06-05,06-04,06-03,06-02,06-01_x,06-01_y,05-31,05-25
EXEL,2025-05-13,0.36,0.55,2025-08-04,,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
FOXA,2025-05-12,0.91,1.1,2025-08-04,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BSEM,2025-05-12,1.25,0.17,2025-08-11,,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
GAMB,2025-05-15,0.25,0.31,2025-08-15,,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
HMC,2025-05-13,,,2025-08-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NXT,2025-05-14,0.98,1.29,2025-07-30,,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02
LAZR,2025-05-14,-1.78,-1.5,2025-08-04,,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18
CHGG,2025-05-12,,-0.06,2025-08-04,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
CSWC,2025-05-14,0.61,0.54,2025-08-04,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.6
CTMX,2025-05-12,0.12,0.27,2025-08-06,,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
SPCE,2025-05-15,-2.68,-2.38,2025-08-05,,-2.21,-2.21,-2.21,-2.21,-2.21,-2.21,-2.21,-2.21,-2.21,-2.21,-2.21,-2.21
SPRY,2025-05-14,-0.35,-0.35,2025-08-04,,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51
SDRL,2025-05-12,0.51,-0.23,2025-08-06,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
DE,2025-05-15,5.58,6.64,2025-08-13,,4.67,4.67,4.67,4.67,4.67,4.67,4.62,4.62,4.62,4.62,4.62,4.62
PANW,2025-05-20,0.77,0.8,2025-08-18,,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88
SNOW,2025-05-21,0.21,0.24,2025-08-19,,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26
DECK,2025-05-22,0.6,1.0,2025-07-23,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
HD,2025-05-20,3.6,3.56,2025-08-19,,4.71,4.71,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
ZIM,2025-05-19,1.87,2.45,2025-08-11,,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
BIDU,2025-05-21,14.73,18.54,2025-08-20,,15.71,15.71,15.71,15.71,15.71,15.71,15.71,15.71,15.71,15.71,15.71,16.09
TGT,2025-05-21,1.61,1.3,2025-08-19,,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01
TJX,2025-05-21,0.91,0.92,2025-08-20,,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
ADI,2025-05-22,1.7,1.85,2025-08-19,,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93
TCOM,2025-05-19,,,2025-08-25,,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23
VFC,2025-05-21,-0.14,-0.13,2025-08-04,,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33
ADSK,2025-05-22,2.15,2.29,2025-08-27,,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
BJ,2025-05-22,0.92,1.14,2025-08-20,,1.09,1.09,1.09,1.09,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
INTU,2025-05-22,10.91,11.65,2025-08-20,,2.67,2.67,2.67,2.67,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68
ROST,2025-05-22,1.44,1.47,2025-08-20,,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.55,1.55,1.55,1.55,1.55
WDAY,2025-05-22,2.01,2.23,2025-08-20,,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.11
ZM,2025-05-21,1.31,1.43,2025-08-19,,1.38,1.38,1.38,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAP,2025-05-22,-0.82,-0.22,2025-08-20,,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.56,0.56,0.56,0.56,0.56
EGHT,2025-05-19,0.08,0.08,2025-08-05,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GILT,2025-05-19,0.03,-0.11,2025-08-05,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
AGYS,2025-05-19,0.29,0.54,2025-07-21,,0.36,0.36,0.36,0.36,0.36,0.36,0.37,0.37,0.37,0.37,0.37,0.37
